Name,Armor Class,Hit Points,Speed,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,Damage Immunities,Damage Resistances,Damage Vulnerabilities,Condition Immunities,Senses,Languages,Challenge,attacks&moves,Hit Dice,Armor Note
Aarakocra,12,13,"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception +5,None,None,None,None,,"Auran, Aarakocra",1/4 (50 XP),"{'Dive Attack': 'If the aarakocra is flying and dives at least 30 ft. straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.', 'Talon': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.', 'Javelin': 'Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.', 'Summon Air Elemental': ""Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.""}",3d8,None
Abjurer,12,84,30 ft.,9,14,14,18,12,11,"Int +8, Wis +5","Arcana +8, History +8",None,None,None,None,,any four languages,"9 (5,000 XP)","{'Spellcasting': 'The abjurer is a 13th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The abjurer has the following wizard spells prepared:\n\nCantrips (at will): blade ward. dancing lights, mending, message, ray of frost\n\n1st level (4 slots): alarm*, mage armor, magic missile, shield*\n\n2nd level (3 slots): arcane lock*, invisibility\n\n3rd level (3 slots): counterspell*, dispel magic*, fireball\n\n4th level (3 slots): banishment*, stoneskin*\n\n5th level (2 slots): cone of cold, wall of force\n\n6th level (1 slot): flesh to stone, globe of invulnerability*\n\n7th level (1 slot): symbol* teleport\n\n*Abjuration spell of 1st level or higher', 'Arcane Ward': 'The abjurer has a magical ward that has 30 hit points. Whenever the abjurer takes damage, the ward takes the damage instead. If the ward is reduced to 0 hit points, the abjurer takes any remaining damage. When the abjurer casts an . abjuration spell of 1st level or higher, the ward regains a number of hit points equal to twice the level of the spell.', 'Quarterstaff': ""Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d6-l) bludgeoning damage, or 3 (1d8-l) bludgeoning damage if used with two hands.\n\nSource:Volo's Guide to Monsters""}",13d8+26,15 with mage armor
Aboleth,17,135,"10 ft., swim 40 ft.",21,9,15,18,15,18,"Con +6, Int +8, Wis +6","History +12, Perception +10",None,None,None,None,darkvision 120 ft.,"Deep Speech, telepathy 120 ft.","10 (5,900 XP)","{'Amphibious': 'The aboleth can breathe air and water.', 'Mucous Cloud': 'While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.', 'Probing Telepathy': ""If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature."", 'Multiattack': 'The aboleth makes three tentacle attacks.', 'Tentacle': ""Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed."", 'Tail': 'Melee Weapon Attack: +9 to hit, reach 10 ft. one target. Hit: 15 (3d6 + 5) bludgeoning damage.', 'Enslave (3/day)': ""The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.\n\nWhenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth."", 'Legendary Actions': ""The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn."", 'Detect': 'The aboleth makes a Wisdom (Perception) check.', 'Tail Swipe': 'The aboleth makes one tail attack.', 'Psychic Drain (Costs 2 Actions)': 'One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.'}",18d10+36,natural armor
Abominable Yeti,15,137,"40 ft., climb 40 ft.",24,10,22,9,13,9,,"Perception +5, Stealth +4",cold,None,None,None,darkvision 60 ft.,Yeti,"9 (5,000 XP)","{'Fear of Fire': 'If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.', 'Keen Smell': 'The yeti has advantage on Wisdom (Perception) checks that rely on smell.', 'Snow Camouflage': 'The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain.', 'Multiattack': 'The yeti can use its Chilling Gaze and makes two claw attacks.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage plus 7 (2d6) cold damage.', 'Chilling Gaze': ""The yeti targets one creature it can see within 30 feet of it. If the target can see the yeti, the target must succeed on a DC 18 Constitution saving throw against this magic or take 21 (6d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to this yeti's gaze for 1 hour."", 'Cold Breath (Recharge 6)': 'The yeti exhales a 30-foot cone of frigid air. Each creature in that area must make a DC 18 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.'}",11d12+66,natural armor
Acolyte,10,9,30 ft.,10,10,10,10,14,11,,"Medicine +4, Religion +2",None,None,None,None,,any one language (usually Common),1/4 (50 XP),"{'Spellcasting': 'The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared: \n\nCantrips (at will): light, sacred flame, thaumaturgy\n1st level (3 slots): bless, cure wounds, sanctuary', 'Club': 'Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.'}",2d8,None
Adult Black Dragon,19,195,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,"Dex +7, Con +10, Wis +6, Cha +8","Perception +11, Stealth +7",acid,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","14 (11,500 XP)","{'Amphibious': 'The dragon can breathe air and water.', 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Tail': 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Acid Breath (Recharge 5-6)': 'The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The adult black dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult black dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",17d12+85,natural armor
Adult Blue Dracolich,19,225,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,"Dex +5, Con +11, Wis +7, Cha +9","Perception +12, Stealth +5","lightning, poison",necrotic,None,"charmed, exhaustion, frightened, paralyzed, poisoned","lindsight 60 ft., darkvision 120 ft.","Common, Draconic","17 (18,000 XP)","{'Legendary Resistance (3/Day)': 'If the dracolich fails a saving throw, it can choose to succeed instead.', 'Magic Resistance': 'The dracolich has advantage on saving throws against spells and other magical effects.', 'Multiattack': 'The dracolich can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.', 'Claw': 'Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.', 'Tail': 'Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dracolich's choice that is within 120 feet of the dracolich and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dracolich's Frightful Presence for the next 24 hours."", 'Lightning Breath (Recharge 5-6)': 'The dracolich exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 20 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The adult blue dracolich can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult blue dracolich regains spent legendary actions at the start of its turn."", 'Detect': 'The dracolich makes a Wisdom (Perception) check.', 'Tail Attack': 'The dracolich makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.'}",18d12+108,natural armor
Adult Blue Dragon,19,225,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,"Dex +5, Con +11, Wis +7, Cha +9","Perception +12, Stealth +5",lightning,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","16 (15,000 XP)","{'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.', 'Claw': 'Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.', 'Tail': 'Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Lightning Breath (Recharge 5-6)': 'The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The adult blue dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult blue dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",18d12+108,None
Adult Brass Dragon,18,172,"40 ft., burrow 40 ft., fly 80 ft.",23,10,21,14,13,17,"Dex +5, Con +10, Wis +6, Cha +8","History +7, Perception +11, Persuasion +8, Stealth +5",fire,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","13 (10,000 XP)","{'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +11 to hit, reach,.0 ft., one target. Hit: 17 (2d10 + 6) piercing damage.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Tail': 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Breath Weapons (Recharge 5-6)': 'The dragon uses one of the following breath weapons.\n\nFire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.\n\nSleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.'}",15d12+75,natural armor
Adult Bronze Dragon,19,212,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,"Dex +5, Con +11, Wis +7, Cha +9","Insight +7, Perception +12, Stealth +5",lightning,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","15 (13,000 XP)","{'Amphibious': 'The dragon can breathe air and water.', 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.', 'Claw': 'Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.', 'Tail': 'Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Breath Weapons (Recharge 5-6)': 'The dragon uses one of the following breath weapons.\n\nLightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.\n\nRepulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.', 'Legendary Actions': ""The adult bronze dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult bronze dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",17d12+102,natural armor
